Well,CellCount,MeanCellArea
C04,1975,551.77
C05,1050,486.08
C06,1808,410.36
C07,2556,391.24
C08,2907,296.95
C09,3846,291.5
C10,2241,263.47
C11,3790,240.43
D02,880,688.88
D03,896,595.47
D04,1273,529.55
D05,1745,485.15
D06,1630,425.3
D07,3015,373.46
D08,3183,316.99
D09,2332,239.03
D10,3289,254.77
D11,2078,257.04
E02,619,649.71
E03,1387,610.81
E04,1766,532.01
E05,784,448.44
E06,1854,386.75
E07,4618,377.98
E08,2861,278.86
E09,2896,236.55
E10,3307,224.22
E11,1909,257.39
F02,518,633.75
F03,1545,600.43
F04,1173,517.7
F05,1308,474.16
F06,1277,387.66
F07,3146,320.23
F08,2260,312.31
F09,2948,276.43
F10,3209,248.4
F11,3061,250.25
G02,861,637.85
G03,684,621.31
G04,1068,510.66
G05,1956,453.62
G06,1069,381.33
G07,2403,312.54
G08,3062,309.8
G09,2923,267.78
G10,2386,271.58
G11,3645,238.33
7,,
Timespan(h):,135.3775,
B02,615,561.13
B03,617,446.89
B04,396,431.53
B05,556,420.61
B06,640,370.22
B07,1091,372.46
B08,899,270.9
B09,2527,224.76
B10,2179,215.77
B11,3307,210.63
C02,782,601.23
C03,1420,476.09
C04,2569,417.17
C05,1217,410.64
C06,1947,396.84
C07,2723,388.7
C08,3706,263.03
C09,5597,252.75
C10,3215,216.83
C11,5186,205.48
D02,1198,572.46
D03,1011,469.65
D04,1401,429.78
D05,1933,378.17
D06,1769,388.81
D07,3202,383.74
D08,4200,253.41
D09,3380,222.87
D10,4522,231.72
D11,2824,219.03
E02,880,521.69
E03,1434,470.5
E04,2056,421.6
E05,799,384.89
E06,1909,363.28
E07,4902,390.78
E08,3627,240.96
E09,3971,231.93
E10,4458,196.62
E11,2647,210.59
F02,812,508.03
F03,1595,476.0
F04,1304,412.13
F05,1466,371.57
F06,1259,375.42
F07,3242,353.08
F08,2716,266.18
F09,3994,240.79
F10,4258,216.37
F11,4538,212.54
G02,1164,557.74
G03,989,450.61
G04,1224,392.55
G05,2338,356.58
G06,999,357.46
G07,2588,340.05
G08,3874,272.84
G09,3858,243.19
G10,3206,249.6
G11,5455,232.06
8,,
Timespan(h):,162.2753,
B02,723,424.2
B03,653,276.37
B04,431,313.19
B05,571,371.26
B06,581,412.15
B07,1296,365.91
B08,1013,309.2
B09,2981,260.09
B10,3064,222.44
B11,4459,205.35
C02,890,445.03
C03,1520,277.68
C04,2554,370.88
C05,1226,359.71
C06,1943,412.55
C07,3166,386.73
C08,4022,313.89
C09,7174,262.99
C10,4437,228.2
C11,7126,214.94
D02,1355,443.05
D03,1074,275.66
D04,1553,292.06
D05,1997,334.13
D06,1753,371.42
D07,3827,375.34
D08,4694,301.53
D09,4479,248.94
D10,6297,229.7
D11,3857,214.34
E02,986,399.03
E03,1516,261.04
E04,2205,305.33
E05,887,326.82
E06,1914,364.36
E07,5919,373.8
E08,4144,291.76
E09,5145,254.25
E10,6526,204.83
E11,3686,220.88
F02,913,380.49
F03,1708,239.73
F04,1446,290.26
F05,1489,317.83
F06,1272,377.66
F07,3882,350.37
F08,3101,293.42
F09,5222,251.1
F10,5554,220.24
F11,6032,234.79
G02,1272,412.66
G03,1086,287.77
G04,1232,355.11
G05,2268,359.54
G06,1059,339.65
G07,3091,341.13
G08,4281,316.47
G09,5037,251.54
G10,4455,236.33
G11,7217,238.3
9,,
Timespan(h):,187.0678,
B02,761,336.15
B03,656,247.79
B04,440,278.78
B05,535,396.2
B06,639,377.21
B07,1362,392.67
B08,1151,328.83
B09,3912,260.42
B10,3867,221.14
B11,5451,228.93
C02,887,375.52
C03,1473,258.16
C04,2646,294.26
C05,1175,376.76
C06,2116,385.4
C07,3609,369.93
C08,4786,314.67
C09,9085,268.73
C10,5678,246.1
C11,8834,241.27
D02,1392,347.85
D03,1123,227.26
D04,1527,271.51
D05,1849,372.95
D06,1908,373.0
D07,4321,356.96
D08,5134,332.99
D09,5796,258.22
D10,8201,234.11
D11,4820,237.77
E02,991,332.38
E03,1477,209.55
E04,2134,288.83
E05,904,303.03
E06,2125,352.06
E07,6687,386.3
E08,4696,293.25
E09,6557,253.43
E10,8179,221.35
E11,4907,244.71
F02,961,310.31
F03,1693,211.84
F04,1405,272.59
F05,1476,336.25
F06,1387,356.22
F07,4325,351.22
F08,3506,315.66
F09,6597,266.39
F10,7235,253.92
F11,7642,235.85
G02,1189,382.33
G03,1161,228.28
G04,1211,324.09
G05,2337,316.94
G06,1107,333.49
G07,3290,365.89
G08,4891,314.69
G09,6038,282.25
G10,5566,257.34
G11,8805,238.14
10,,
Timespan(h):,213.1206,
B02,789,266.01
B03,611,216.68
B04,516,260.7
B05,598,338.58
B06,602,367.95
B07,1650,358.76
B08,1266,328.41
B09,4953,263.71
B10,5449,232.17
B11,7900,228.9
C02,654,296.53
C03,1713,214.3
C04,2386,287.16
C05,1199,352.44
C06,2009,385.55
C07,3340,386.25
C08,4968,319.02
C09,10825,281.12
C10,7664,243.44
C11,11896,238.6
D02,1356,247.26
D03,1296,199.15
D04,1804,245.66
D05,2094,324.01
D06,1934,348.85
D07,4574,366.91
D08,6208,331.91
D09,7577,261.8
D10,11198,252.14
D11,7191,228.54
E02,1004,257.01
E03,1262,196.09
E04,2140,259.91
E05,944,296.7
E06,2315,347.27
E07,7307,361.43
E08,5124,334.68
E09,8548,269.35
E10,12129,237.6
E11,7213,234.97
F02,1015,230.67
F03,1366,208.97
F04,1286,265.34
F05,1542,327.87
F06,1515,332.27
F07,4244,360.64
F08,3796,330.45
F09,8396,268.7
F10,9549,257.83
F11,10557,244.71
G02,1331,249.06
G03,1303,197.01
G04,1539,268.58
G05,2265,319.65
G06,1282,329.46
G07,3469,368.61
G08,5161,354.54
G09,8382,270.33
G10,7864,249.13
G11,11917,248.82
11,,
Timespan(h):,230.55,
B02,803,246.82
B03,630,225.58
B04,517,268.7
B05,586,357.92
B06,740,329.21
B07,1619,359.93
B08,1278,347.83
B09,5703,275.03
B10,6494,235.05
B11,9222,249.38
C02,730,244.29
C03,1785,216.45
C04,2454,286.83
C05,1221,347.1
C06,2325,357.55
C07,3715,366.49
C08,5349,340.24
C09,12999,267.62
C10,9030,257.76
C11,13701,253.63
D02,1415,227.2
D03,1306,210.93
D04,1824,256.25
D05,2209,310.44
D06,1985,352.93
D07,4157,378.74
D08,6834,320.38
D09,9052,258.64
D10,13180,255.85
D11,8815,243.19
E02,1079,221.91
E03,1335,202.83
E04,2159,275.78
E05,1040,288.03
E06,2350,349.29
E07,7340,355.85
E08,5444,332.16
E09,10314,275.13
E10,13401,234.06
E11,8967,230.75
F02,1049,213.44
F03,1434,209.7
F04,1318,263.06
F05,1578,328.64
F06,1612,325.0
F07,4700,348.39
F08,3902,338.98
F09,9756,284.97
F10,11308,258.15
F11,11807,265.95
G02,1419,229.37
G03,1290,212.09
G04,1552,277.86
G05,2287,332.12
G06,1356,308.51
G07,3591,362.78
G08,5793,338.04
G09,9307,286.94
G10,9328,265.83
G11,13895,263.06
12,,
Timespan(h):,254.7197,
B02,856,226.37
B03,610,251.59
B04,523,289.4
B05,602,340.31
B06,777,317.5
B07,1642,361.97
B08,1446,335.89
B09,7199,282.31
B10,8951,247.84
B11,12293,239.71
C02,702,252.04
C03,1787,228.12
C04,2339,315.23
C05,1334,324.8
C06,2391,343.3
C07,3282,385.62
C08,6255,331.91
C09,14625,287.39
C10,12171,257.58
C11,17417,253.51
D02,1471,217.1
D03,1340,216.39
D04,1799,283.92
D05,2172,313.08
D06,2150,326.65
D07,4670,355.94
D08,7669,329.97
D09,11964,263.27
D10,18143,243.37
D11,11577,246.62
E02,1076,220.38
E03,1347,213.7
E04,2164,287.22
E05,1078,310.29
E06,2501,331.65
E07,7106,366.15
E08,6408,328.18
E09,13390,258.28
E10,16557,240.29
E11,12087,234.4
F02,1024,232.0
F03,1435,223.06
F04,1285,288.15
F05,1568,336.82
F06,1696,316.39
F07,4671,350.66
F08,4427,337.7
F09,12551,272.61
F10,14382,250.42
F11,15927,250.12
G02,1317,245.99
G03,1300,225.17
G04,1534,297.69
G05,2288,333.12
G06,1420,310.84
G07,3569,381.53
G08,6749,334.48
G09,11796,275.26
G10,12754,261.55
G11,17862,261.28
13,,
Timespan(h):,279.3006,
B02,1088,209.63
B03,636,247.44
B04,424,306.09
B05,582,316.63
B06,761,291.48
B07,1879,337.16
B08,1707,329.6
B09,8575,282.85
B10,11596,241.67
B11,14810,259.1
C02,560,237.76
C03,967,253.27
C04,1842,340.0
C05,1164,322.42
C06,2297,340.8
C07,3714,347.54
C08,6390,337.82
C09,17172,272.17
C10,15128,251.82
C11,20851,258.8
D02,517,215.57
D03,718,240.15
D04,1067,323.44
D05,1906,316.94
D06,1884,336.85
D07,4595,349.96
D08,8384,325.36
D09,13910,264.36
D10,20823,251.01
D11,15054,244.3
E02,777,217.14
E03,839,230.57
E04,1421,322.25
E05,981,308.29
E06,2403,329.33
E07,7224,352.47
E08,6413,326.01
E09,15812,266.99
E10,20044,248.55
E11,15587,237.66
F02,596,209.89
F03,863,244.28
F04,877,342.64
F05,1334,341.66
F06,1719,310.45
F07,4463,344.35
F08,4802,332.32
F09,14701,269.66
F10,16783,259.28
F11,18624,261.88
G02,712,226.38
