Well,CellCount,MeanCellArea
C06,4095,382.45
C07,4932,346.13
C08,7408,309.86
C09,8608,306.63
C10,8524,294.1
C11,7930,279.45
D02,1808,463.1
D03,2588,503.69
D04,2208,519.67
D05,2533,448.17
D06,3683,415.22
D07,5830,350.76
D08,8032,311.23
D09,9049,298.21
D10,14225,297.6
D11,9296,286.43
E02,901,452.46
E03,2529,514.68
E04,2914,472.89
E05,2862,477.71
E06,3159,396.48
E07,6659,347.59
E08,8396,320.46
E09,7761,297.44
E10,13517,290.82
E11,9022,288.68
F02,1329,473.9
F03,2057,495.31
F04,2521,527.55
F05,3239,462.37
F06,5229,398.01
F07,6706,343.83
F08,7614,314.59
F09,14195,293.63
F10,13147,291.43
F11,14518,279.99
G02,1243,488.39
G03,1816,516.44
G04,2779,502.4
G05,3810,455.45
G06,3048,392.66
G07,5164,341.37
G08,6344,307.74
G09,6856,297.97
G10,7306,287.06
G11,10545,277.83
7,,
Timespan(h):,144.7489,
B02,1460,457.04
B03,1750,484.12
B04,1934,470.71
B05,3279,442.45
B06,3406,388.16
B07,5570,341.24
B08,11677,320.98
B09,14212,292.45
B10,16518,277.21
B11,15022,281.61
C02,1707,477.45
C03,1531,497.81
C04,2610,472.86
C05,3272,420.78
C06,5248,383.29
C07,7949,339.31
C08,13105,308.46
C09,16445,298.03
C10,15870,287.4
C11,15230,273.38
D02,1926,467.93
D03,2655,486.55
D04,2441,499.12
D05,2951,431.58
D06,4759,394.08
D07,8541,354.45
D08,13555,310.77
D09,16449,290.13
D10,24489,279.99
D11,17285,281.19
E02,949,474.84
E03,2477,505.09
E04,2990,461.01
E05,3248,438.43
E06,4080,383.84
E07,9539,346.33
E08,13664,323.39
E09,14609,295.14
E10,23127,282.01
E11,17649,279.15
F02,1420,498.5
F03,2004,493.88
F04,2820,498.68
F05,3460,445.41
F06,6194,390.11
F07,9504,345.57
F08,12372,317.46
F09,24183,287.51
F10,22788,284.94
F11,24931,272.37
G02,1390,501.19
G03,1961,513.86
G04,3052,484.62
G05,4092,441.46
G06,3849,393.0
G07,7291,347.97
G08,11390,303.95
G09,13421,292.98
G10,14850,275.69
G11,19941,267.94
8,,
Timespan(h):,168.1022,
B02,1392,451.33
B03,1816,432.12
B04,2019,439.17
B05,3369,416.48
B06,3916,384.76
B07,8190,341.35
B08,18139,306.73
B09,23539,274.14
B10,26635,260.2
B11,25010,265.28
C02,1683,460.78
C03,1685,472.97
C04,2903,446.6
C05,3459,400.55
C06,5791,387.14
C07,11761,328.47
C08,21144,293.13
C09,25498,279.99
C10,25597,269.69
C11,24265,255.12
D02,1722,478.79
D03,2895,450.9
D04,2618,449.51
D05,3142,413.87
D06,5215,390.78
D07,11924,345.81
D08,21399,297.02
D09,25395,275.89
D10,34125,268.22
D11,26688,266.5
E02,991,457.52
E03,2477,462.83
E04,2872,438.03
E05,3416,417.42
E06,4642,390.01
E07,13090,341.37
E08,21088,300.9
E09,24573,276.87
E10,32115,272.44
E11,27026,267.09
F02,1407,471.08
F03,2017,453.26
F04,2994,460.07
F05,3658,427.63
F06,6759,380.89
F07,12562,343.62
F08,19790,297.99
F09,33907,273.02
F10,34007,267.79
F11,34771,260.95
G02,1413,460.08
G03,1898,489.18
G04,3161,454.46
G05,4130,417.23
G06,4185,391.23
G07,9849,346.17
G08,17324,292.4
G09,20959,275.99
G10,22996,267.33
G11,29389,257.08
9,,
Timespan(h):,193.7944,
B02,1314,432.76
B03,1829,408.9
B04,1970,415.54
B05,3233,398.51
B06,4107,377.55
B07,10634,335.32
B08,19064,327.13
B09,24201,304.9
B10,26920,295.1
B11,26155,292.65
C02,1611,443.67
C03,1724,436.24
C04,2764,437.65
C05,3325,403.26
C06,6179,377.29
C07,13595,332.29
C08,21634,318.76
C09,25163,313.64
C10,25813,300.7
C11,24615,287.33
D02,1797,418.04
D03,2668,440.1
D04,2573,429.14
D05,3003,405.02
D06,5540,383.73
D07,13429,347.24
D08,21379,324.25
D09,25112,310.64
D10,33244,296.34
D11,26873,295.61
E02,1027,425.51
E03,2439,434.41
E04,2826,396.67
E05,3253,407.73
E06,5081,377.33
E07,15363,342.04
E08,21480,326.72
E09,24790,304.99
E10,31124,301.7
E11,27636,292.49
F02,1400,446.79
F03,2094,422.14
F04,2885,426.28
F05,3361,411.3
F06,7016,373.78
F07,13886,347.68
F08,21437,314.04
F09,32610,303.43
F10,32804,300.63
F11,34009,290.68
G02,1475,436.66
G03,1892,446.1
G04,2820,432.0
G05,3966,398.37
G06,4688,373.1
G07,11523,343.67
G08,17373,323.91
G09,20553,313.53
G10,22894,304.35
G11,29087,290.26
10,,
Timespan(h):,219.0831,
B02,1407,358.32
B03,1869,371.63
B04,2415,377.69
B05,3328,362.29
B06,4939,350.99
B07,12919,352.3
B08,21725,342.74
B09,28674,313.14
B10,31657,301.6
B11,30199,305.66
C02,1862,376.51
C03,1814,376.4
C04,2648,360.0
C05,3287,365.09
C06,7657,351.9
C07,16339,351.13
C08,25502,334.56
C09,29362,323.97
C10,30800,310.25
C11,29734,299.85
D02,1791,378.39
D03,2558,374.8
D04,2713,372.66
D05,3370,369.81
D06,6718,367.34
D07,15775,358.77
D08,25188,337.02
D09,30675,311.22
D10,37433,299.83
D11,31758,303.48
E02,1224,371.51
E03,2328,361.78
E04,2843,357.93
E05,3042,367.15
E06,6338,350.6
E07,17437,357.44
E08,24903,340.83
E09,30293,312.12
E10,34791,308.28
E11,31961,306.03
F02,1629,380.29
F03,1947,365.93
F04,2475,367.65
F05,3437,361.87
F06,8491,355.4
F07,16257,355.17
