Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,427,295.15
B03,438,292.21
B04,424,293.89
B05,456,289.66
B06,465,284.78
B07,478,287.0
B08,500,301.26
B09,496,282.08
B10,601,286.27
B11,494,289.06
C02,511,285.69
C03,547,292.92
C04,760,293.96
C05,616,291.18
C06,782,268.96
C07,725,303.45
C08,680,286.73
C09,698,274.07
C10,519,275.97
C11,375,287.35
D02,492,278.87
D03,642,294.41
D04,684,279.14
D05,657,284.31
D06,833,289.48
D07,860,284.52
D08,848,278.11
D09,479,293.77
D10,615,286.24
D11,324,297.83
E02,477,298.81
E03,635,282.91
E04,668,287.87
E05,689,282.97
E06,637,285.39
E07,726,283.14
E08,739,289.98
E09,600,287.67
E10,593,288.85
E11,427,292.84
F02,421,301.32
F03,666,283.71
F04,685,288.25
F05,674,289.01
F06,634,284.77
F07,628,297.36
F08,751,289.8
F09,551,294.61
F10,453,296.77
F11,406,294.56
G02,417,290.0
G03,529,301.31
G04,388,295.63
G05,483,295.88
G06,433,275.16
G07,465,304.38
G08,419,295.08
G09,452,292.67
G10,536,298.32
G11,375,282.51
2,,
Timespan(h):,23.9075,
B02,851,283.0
B03,860,285.52
B04,783,288.9
B05,857,283.68
B06,903,284.58
B07,895,288.36
B08,998,293.62
B09,940,285.86
B10,1156,287.72
B11,929,294.52
C02,938,287.88
C03,1040,287.57
C04,1417,296.49
C05,1209,284.69
C06,1361,282.76
C07,1320,297.18
C08,1326,282.15
C09,1261,293.8
C10,1039,283.34
C11,775,272.86
D02,933,282.07
D03,1157,289.51
D04,1308,290.49
D05,1248,283.43
D06,1554,286.02
D07,1658,288.78
D08,1663,282.5
D09,939,286.13
D10,1179,288.49
D11,657,284.88
E02,894,304.69
E03,1271,286.05
E04,1253,286.05
E05,1379,282.68
E06,1270,283.06
E07,1380,284.8
E08,1414,284.79
E09,1205,276.72
E10,1099,294.08
E11,842,286.19
F02,767,297.72
F03,1247,283.72
F04,1359,290.58
F05,1279,283.99
F06,1188,289.04
F07,1206,291.22
F08,1409,293.77
F09,1093,290.52
F10,876,292.68
F11,820,283.96
G02,799,296.53
G03,1004,295.54
G04,729,288.75
G05,914,290.74
G06,830,286.9
G07,945,287.21
G08,852,285.48
G09,851,286.3
G10,1055,282.59
G11,761,280.86
3,,
Timespan(h):,45.9811,
B02,1460,281.63
B03,1515,284.57
B04,1368,291.83
B05,1565,280.78
B06,1565,294.22
B07,1603,282.17
B08,1716,293.18
B09,1641,288.74
B10,1969,290.94
B11,1718,295.39
C02,1689,286.92
C03,1826,285.75
C04,2477,295.86
C05,2158,292.96
C06,2403,284.86
C07,2308,298.68
C08,2334,277.39
