Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,348,335.56
B03,591,345.68
B04,437,343.06
B05,393,347.72
B06,421,345.79
B07,374,351.16
B08,527,326.75
B09,501,330.06
B10,621,353.35
B11,653,346.73
C02,480,345.3
C03,515,347.51
C04,625,345.95
C05,674,346.2
C06,634,359.93
C07,825,341.89
C08,734,350.57
C09,815,344.4
C10,719,344.35
C11,609,344.17
D02,469,339.68
D03,827,345.01
D04,623,351.44
D05,647,340.03
D06,589,338.13
D07,812,333.29
D08,936,343.25
D09,916,347.37
D10,1001,335.28
D11,582,330.57
E02,402,350.36
E03,596,350.25
E04,863,350.33
E05,743,346.31
E06,612,341.59
E07,870,339.77
E08,737,348.55
E09,795,344.04
E10,687,359.01
E11,860,339.16
F02,496,337.95
F03,649,335.69
F04,684,350.32
F05,668,335.14
F06,673,345.75
F07,601,335.97
F08,662,342.37
F09,709,345.8
F10,868,348.63
F11,548,341.74
G02,401,335.02
G03,482,349.15
G04,526,345.76
G05,544,337.82
G06,444,327.64
G07,367,331.31
G08,542,345.18
G09,600,330.24
G10,540,338.7
G11,552,343.75
2,,
Timespan(h):,28.7131,
B02,519,355.77
B03,858,367.46
B04,641,368.51
B05,574,346.84
B06,624,361.71
B07,584,368.75
B08,781,352.82
B09,771,351.29
B10,904,369.82
B11,1026,365.63
C02,738,358.45
C03,762,361.31
C04,967,358.13
C05,1031,360.55
C06,1006,365.34
C07,1205,368.29
C08,1118,360.05
C09,1252,365.05
C10,1066,363.62
C11,897,373.6
D02,703,358.29
D03,1321,354.06
D04,929,369.29
D05,987,351.32
D06,905,374.46
D07,1193,373.85
D08,1456,357.99
D09,1347,361.44
D10,1438,360.82
D11,889,355.24
E02,628,354.67
E03,895,372.73
E04,1288,371.25
E05,1114,361.26
E06,925,360.96
E07,1310,365.52
E08,1153,369.13
E09,1180,355.55
E10,1069,377.59
E11,1272,363.64
F02,744,360.15
F03,968,363.58
F04,1048,363.31
F05,1001,361.48
F06,991,363.3
F07,900,352.93
F08,1019,359.33
F09,1105,353.68
F10,1353,360.96
F11,840,357.14
G02,566,373.71
G03,730,364.25
G04,822,361.7
G05,769,368.45
G06,663,357.82
G07,565,366.17
G08,825,361.65
G09,896,363.08
G10,817,351.93
G11,825,355.06
3,,
Timespan(h):,50.3628,
B02,687,353.34
B03,1168,371.96
B04,841,371.05
B05,761,347.98
B06,831,362.66
B07,785,366.25
B08,1036,363.69
B09,1038,363.4
B10,1219,366.12
B11,1352,366.47
C02,973,361.78
C03,1033,360.51
C04,1240,366.43
C05,1394,354.21
C06,1366,382.81
C07,1595,372.64
C08,1509,363.06
C09,1690,373.28
