Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,408,306.64
B03,631,289.14
B04,577,313.34
B05,683,308.95
B06,852,300.2
B07,917,319.6
B08,926,298.4
B09,902,291.95
B10,772,315.5
B11,800,297.88
C02,315,296.11
C03,865,322.0
C04,882,303.42
C05,810,290.4
C06,787,287.27
C07,861,295.45
C08,845,287.37
C09,836,312.66
C10,823,293.41
C11,859,315.14
D02,433,309.25
D03,924,306.01
D04,882,296.64
D05,705,302.23
D06,742,300.28
D07,879,318.31
D08,887,319.37
D09,935,261.68
D10,968,303.33
D11,903,297.1
E02,500,287.54
E03,1029,283.65
E04,999,286.47
E05,762,264.77
E06,873,272.36
E07,934,299.17
E08,845,272.57
E09,926,291.18
E10,1018,274.74
E11,897,306.61
F02,463,296.62
F03,871,270.65
F04,1078,286.09
F05,1039,269.15
F06,969,290.76
F07,895,274.5
F08,985,267.37
F09,933,313.18
F10,825,268.69
F11,825,298.39
G02,417,314.44
G03,497,306.31
G04,600,300.17
G05,556,288.87
G06,486,223.66
G07,749,268.74
G08,586,296.55
G09,667,298.84
G10,599,300.92
G11,586,295.15
2,,
Timespan(h):,19.8772,
B02,571,247.38
B03,871,290.93
B04,814,293.9
B05,1010,284.63
B06,1153,298.7
B07,1312,289.25
B08,1287,297.94
B09,1274,264.69
B10,1131,272.85
B11,1138,275.85
C02,445,294.15
C03,1342,260.62
C04,1255,305.74
C05,1082,302.0
C06,1110,296.19
C07,1198,294.02
C08,1177,267.7
C09,1266,271.7
C10,1168,282.19
C11,1182,295.73
D02,593,288.29
D03,1354,279.16
D04,1200,292.59
D05,1020,293.53
D06,1079,282.67
D07,1282,291.42
D08,1275,267.82
D09,1353,281.88
D10,1377,294.91
D11,1167,314.24
E02,673,286.76
E03,1476,286.14
E04,1430,288.93
E05,1080,244.34
E06,1205,252.92
E07,1326,278.1
E08,1184,283.05
E09,1290,273.11
E10,1448,273.22
E11,1228,309.54
F02,659,286.23
F03,1211,282.74
F04,1503,246.76
F05,1518,260.92
F06,1377,280.59
F07,1265,256.38
F08,1357,305.17
F09,1379,273.39
F10,1162,272.61
F11,1169,279.11
G02,575,302.49
G03,692,302.64
G04,843,301.19
G05,778,290.72
G06,653,214.36
G07,1041,253.39
G08,825,272.87
G09,957,279.58
G10,865,277.51
G11,776,284.23
3,,
Timespan(h):,43.7628,
B02,836,251.67
B03,1291,284.5
B04,1179,288.01
B05,1362,317.49
B06,1697,285.73
B07,1804,313.31
B08,1845,299.77
B09,1770,305.56
B10,1623,298.71
B11,1552,301.47
C02,665,276.81
C03,1863,299.88
C04,1806,298.1
C05,1630,272.63
C06,1555,299.35
