Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,270,483.45
B03,351,406.77
B04,303,423.55
B05,377,522.94
B06,584,462.32
B07,380,494.96
B08,301,427.56
B09,346,466.5
B10,338,491.16
B11,273,477.51
C02,401,430.5
C03,571,421.75
C04,635,412.89
C05,614,444.39
C06,546,419.98
C07,648,436.29
C08,805,394.28
C09,613,441.75
C10,551,451.15
C11,474,448.75
D02,438,390.48
D03,465,397.34
D04,631,386.0
D05,548,504.31
D06,732,401.88
D07,664,416.61
D08,665,407.48
D09,751,392.74
D10,461,607.53
D11,512,472.56
E02,333,444.5
E03,620,387.24
E04,565,400.23
E05,697,396.24
E06,729,395.45
E07,676,404.47
E08,713,387.47
E09,673,391.91
E10,527,488.51
E11,418,399.15
F02,268,508.71
F03,415,397.71
F04,693,399.0
F05,622,396.95
F06,629,374.08
F07,615,371.72
F08,641,389.18
F09,781,397.26
F10,543,430.0
F11,507,424.81
G02,262,426.08
G03,434,426.89
G04,299,442.74
G05,491,302.88
G06,287,385.07
G07,358,400.17
G08,380,429.71
G09,315,407.28
G10,360,392.08
G11,340,400.6
2,,
Timespan(h):,25.6486,
B02,405,445.53
B03,491,383.11
B04,465,417.71
B05,589,452.92
B06,948,425.13
B07,579,463.98
B08,418,450.24
B09,487,414.6
B10,531,419.8
B11,387,454.64
C02,647,417.01
C03,825,398.27
C04,922,407.95
C05,894,435.08
C06,841,403.92
C07,1036,404.41
C08,1328,370.17
C09,922,413.27
C10,833,430.51
C11,732,440.27
D02,687,410.49
D03,714,369.78
D04,947,380.49
D05,826,404.37
D06,1211,358.5
D07,964,375.02
D08,1010,399.52
D09,1145,383.36
D10,947,370.55
D11,855,423.18
E02,515,382.59
E03,951,365.49
E04,818,415.52
E05,1104,378.47
E06,1108,377.83
E07,975,403.23
E08,1088,369.33
E09,1057,372.06
E10,830,408.64
E11,638,383.56
F02,423,409.57
F03,634,374.67
F04,1010,378.83
F05,985,364.71
F06,917,373.39
F07,953,352.77
F08,974,377.22
F09,1222,374.07
F10,868,372.91
F11,790,414.59
G02,364,428.87
G03,696,364.39
G04,498,372.09
G05,721,303.56
G06,428,388.65
G07,577,374.75
G08,593,376.79
G09,458,415.83
G10,582,390.43
G11,479,391.93
3,,
Timespan(h):,46.4389,
B02,694,400.14
B03,777,405.51
B04,718,406.84
B05,999,443.32
B06,1673,370.69
B07,961,407.23
B08,785,397.33
B09,861,378.75
B10,933,392.86
B11,758,413.1
C02,1147,329.8
C03,1227,374.79
C04,1531,325.46
C05,1461,370.59
C06,1258,391.02
C07,1584,399.37
C08,2053,343.34
C09,1627,346.25
C10,1335,428.73
C11,1324,402.94
