Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,854,344.68
B03,831,340.65
B04,711,337.43
B05,732,348.43
B06,809,328.09
B07,772,341.22
B08,648,354.1
B09,769,342.85
B10,949,336.03
B11,758,335.71
C02,911,349.75
C03,936,339.46
C04,995,337.03
C05,795,336.29
C06,910,333.79
C07,811,337.47
C08,832,343.75
C09,851,353.59
C10,902,331.26
C11,922,336.23
D02,820,344.78
D03,951,337.08
D04,923,341.02
D05,814,330.76
D06,731,349.52
D07,954,350.8
D08,855,337.25
D09,778,334.6
D10,1013,334.81
D11,859,345.45
E02,1016,344.04
E03,926,343.63
E04,917,337.09
E05,943,340.27
E06,872,333.57
E07,755,342.61
E08,822,348.48
E09,837,347.11
E10,971,352.07
E11,864,342.92
F02,726,349.17
F03,922,329.2
F04,972,339.86
F05,797,351.8
F06,836,353.75
F07,796,346.99
F08,913,349.54
F09,865,344.03
F10,928,330.84
F11,808,341.71
G02,814,345.49
G03,679,338.42
G04,746,329.67
G05,608,336.03
G06,655,338.37
G07,721,330.79
G08,681,348.25
G09,668,351.54
G10,764,327.45
G11,709,335.1
2,,
Timespan(h):,28.6819,
B02,1295,361.76
B03,1238,361.83
B04,1024,355.5
B05,1153,349.1
B06,1198,360.15
B07,1132,364.04
B08,1039,350.47
B09,1110,357.63
B10,1437,356.59
B11,1094,356.77
C02,1438,361.41
C03,1436,364.67
C04,1481,349.38
C05,1158,354.12
C06,1335,355.64
C07,1236,357.57
C08,1267,367.54
C09,1247,359.3
C10,1370,353.76
C11,1349,361.96
D02,1195,360.07
D03,1437,356.86
D04,1416,360.85
D05,1256,356.56
D06,1145,363.03
D07,1442,366.68
D08,1277,353.25
D09,1247,347.75
D10,1574,353.68
D11,1276,358.79
E02,1581,358.57
E03,1374,367.1
E04,1417,350.63
E05,1445,356.62
E06,1310,367.61
E07,1186,351.62
E08,1296,362.1
E09,1301,361.71
E10,1486,373.57
E11,1269,360.4
F02,1082,364.69
F03,1344,345.94
F04,1475,362.52
F05,1198,371.52
F06,1268,360.96
F07,1248,357.22
F08,1365,366.28
F09,1327,363.43
F10,1407,367.2
F11,1208,363.11
G02,1266,360.9
G03,1038,353.91
G04,1092,347.4
G05,923,360.63
G06,1015,356.52
G07,1069,351.01
G08,1014,361.81
G09,1019,359.42
G10,1153,357.92
G11,1007,362.56
3,,
Timespan(h):,49.3958,
B02,1681,367.15
B03,1633,360.88
B04,1294,367.67
B05,1479,366.99
B06,1566,368.51
B07,1454,369.47
B08,1278,355.56
B09,1410,359.39
B10,1865,363.96
B11,1415,358.94
C02,1883,378.8
C03,1907,373.16
C04,1882,353.96
C05,1507,361.41
