Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,694,297.87
B03,727,294.02
B04,691,289.53
B05,841,294.39
B06,635,292.94
B07,705,285.48
B08,776,286.7
B09,622,288.07
B10,709,275.44
B11,683,280.58
C02,804,300.18
C03,736,292.06
C04,967,290.12
C05,766,292.31
C06,776,295.34
C07,793,293.32
C08,808,300.16
C09,672,290.43
C10,753,286.2
C11,558,292.71
D02,830,287.24
D03,829,285.52
D04,916,292.71
D05,769,292.67
D06,713,288.87
D07,719,289.32
D08,776,298.02
D09,632,279.66
D10,695,288.25
D11,697,281.02
E02,743,288.97
E03,803,286.95
E04,787,293.77
E05,713,297.61
E06,766,288.45
E07,671,295.36
E08,808,287.64
E09,715,289.25
E10,765,286.08
E11,559,291.85
F02,723,284.0
F03,816,289.07
F04,743,299.16
F05,966,290.24
F06,740,287.91
F07,793,295.07
F08,731,283.43
F09,833,296.28
F10,700,284.0
F11,669,290.47
G02,771,300.49
G03,719,298.66
G04,713,298.13
G05,791,283.61
G06,585,299.18
G07,617,295.73
G08,643,281.45
G09,771,291.93
G10,680,302.16
G11,670,280.56
2,,
Timespan(h):,23.9681,
B02,1319,298.54
B03,1514,272.81
B04,1392,279.77
B05,1576,285.85
B06,1253,281.39
B07,1368,283.26
B08,1434,296.27
B09,1247,278.0
B10,1351,282.46
B11,1335,274.94
C02,1574,294.51
C03,1479,288.94
C04,1895,287.2
C05,1472,285.04
C06,1456,289.7
C07,1557,290.31
C08,1600,293.67
C09,1301,287.44
C10,1452,278.46
C11,1054,290.79
D02,1593,280.34
D03,1648,275.19
D04,1739,292.14
D05,1522,292.8
D06,1368,282.42
D07,1387,280.76
D08,1461,286.72
D09,1239,268.26
D10,1336,288.22
D11,1359,279.49
E02,1401,287.96
E03,1531,286.89
E04,1514,281.15
E05,1361,291.45
E06,1443,280.81
E07,1294,290.43
E08,1488,289.27
E09,1393,281.0
E10,1490,285.28
E11,1102,281.87
F02,1306,286.08
F03,1613,285.87
F04,1440,301.68
F05,1853,289.82
F06,1363,302.1
F07,1541,290.81
F08,1361,284.41
F09,1573,290.75
F10,1316,287.13
F11,1287,282.75
G02,1471,295.13
G03,1414,284.96
G04,1471,276.24
G05,1587,273.58
G06,1135,296.84
G07,1202,287.37
G08,1233,272.29
G09,1438,292.77
G10,1394,290.24
G11,1247,279.8
3,,
Timespan(h):,46.0389,
B02,2374,299.34
B03,2593,284.49
B04,2407,280.37
B05,2853,292.17
B06,2134,287.33
B07,2547,288.87
B08,2588,290.13
B09,2198,284.46
B10,2393,286.98
B11,2385,290.21
C02,2800,299.55
C03,2605,286.45
C04,3331,285.25
C05,2648,281.27
