Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,372,476.92
B03,346,452.78
B04,492,398.06
B05,408,406.14
B06,467,454.59
B07,369,525.16
B08,417,449.27
B09,378,495.76
B10,435,421.19
B11,294,410.22
C02,281,428.53
C03,513,403.26
C04,489,372.97
C05,636,393.73
C06,645,391.22
C07,651,443.91
C08,561,411.84
C09,447,419.89
C10,562,420.99
C11,866,412.55
D02,721,406.66
D03,552,399.3
D04,519,392.39
D05,529,455.87
D06,601,382.2
D07,657,386.62
D08,540,453.02
D09,593,424.65
D10,637,394.0
D11,433,444.84
E02,342,393.53
E03,602,390.65
E04,660,398.62
E05,708,399.02
E06,605,394.78
E07,670,398.53
E08,714,378.5
E09,599,387.78
E10,554,534.61
E11,503,374.19
F02,372,400.4
F03,462,384.76
F04,568,391.29
F05,583,393.13
F06,650,395.96
F07,565,389.35
F08,628,370.99
F09,643,392.09
F10,601,388.53
F11,445,441.34
G02,254,477.24
G03,335,421.53
G04,307,463.34
G05,337,406.26
G06,281,439.97
G07,274,415.49
G08,323,366.53
G09,335,384.61
G10,299,393.94
G11,260,395.1
2,,
Timespan(h):,25.6264,
B02,531,433.67
B03,511,410.36
B04,750,415.12
B05,595,429.0
B06,692,403.96
B07,646,410.58
B08,629,422.91
B09,693,397.21
B10,641,438.03
B11,488,388.94
C02,425,407.88
C03,807,388.19
C04,766,373.62
C05,1091,348.84
C06,1089,352.67
C07,997,429.62
C08,840,417.99
C09,730,379.55
C10,827,444.48
C11,1310,408.51
D02,1096,397.6
D03,904,366.77
D04,823,376.46
D05,813,400.74
D06,961,370.75
D07,997,379.69
D08,905,368.02
D09,969,352.5
D10,1031,367.77
D11,678,424.13
E02,513,374.45
E03,913,368.54
E04,1012,367.67
E05,1109,373.15
E06,941,364.02
E07,1064,355.61
E08,1114,358.72
E09,922,363.02
E10,831,498.35
E11,803,388.43
F02,549,396.96
F03,711,368.27
F04,886,374.53
F05,876,366.68
F06,1008,371.45
F07,915,368.68
F08,979,380.22
F09,994,367.77
F10,892,414.3
F11,740,371.29
G02,424,375.42
G03,510,415.9
G04,460,391.58
G05,545,377.16
G06,476,370.09
G07,432,376.11
G08,505,375.19
G09,454,431.32
G10,440,406.23
G11,394,371.04
3,,
Timespan(h):,46.4075,
B02,922,367.78
B03,872,362.48
B04,1257,420.29
B05,1068,393.28
B06,1124,384.91
B07,991,468.34
B08,1118,368.05
B09,1101,404.47
B10,1149,427.54
B11,893,400.85
C02,698,331.92
C03,1283,346.43
C04,1220,314.13
C05,1793,321.01
C06,1706,329.12
C07,1635,393.43
C08,1487,326.61
C09,1070,387.12
C10,1406,380.01
