Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,686,335.15
B03,822,337.24
B04,796,340.67
B05,738,336.5
B06,781,332.07
B07,712,330.66
B08,780,331.86
B09,828,339.53
B10,858,334.15
B11,682,325.37
C02,796,337.97
C03,961,342.22
C04,977,327.33
C05,916,338.25
C06,1021,338.71
C07,1022,340.69
C08,939,328.2
C09,905,335.46
C10,1040,342.84
C11,827,323.15
D02,840,341.28
D03,886,337.62
D04,871,331.24
D05,817,323.74
D06,1019,337.52
D07,1101,328.61
D08,860,338.39
D09,1075,334.69
D10,998,348.08
D11,1002,336.33
E02,807,326.99
E03,1021,334.58
E04,1096,326.77
E05,993,341.85
E06,952,345.18
E07,992,340.02
E08,871,345.65
E09,957,331.77
E10,1069,343.46
E11,1087,339.36
F02,803,342.89
F03,851,340.38
F04,941,336.9
F05,885,344.54
F06,926,318.17
F07,962,319.93
F08,963,341.97
F09,908,328.21
F10,1041,340.1
F11,894,335.96
G02,866,350.07
G03,829,339.92
G04,780,332.53
G05,791,335.51
G06,857,332.56
G07,774,331.43
G08,656,334.9
G09,797,322.28
G10,998,339.35
G11,875,323.43
2,,
Timespan(h):,28.6397,
B02,1031,359.2
B03,1257,347.59
B04,1202,365.59
B05,1081,358.26
B06,1194,353.29
B07,1099,356.47
B08,1224,343.7
B09,1297,355.9
B10,1289,355.18
B11,1003,363.81
C02,1250,354.64
C03,1456,357.8
C04,1432,355.42
C05,1377,357.92
C06,1587,357.41
C07,1553,355.2
C08,1444,358.36
C09,1368,353.06
C10,1587,362.33
C11,1244,352.53
D02,1294,353.11
D03,1391,356.54
D04,1314,348.32
D05,1229,339.72
D06,1573,357.55
D07,1669,353.89
D08,1297,360.02
D09,1603,348.87
D10,1507,360.34
D11,1542,358.4
E02,1179,352.2
E03,1526,357.83
E04,1627,350.05
E05,1511,358.2
E06,1497,354.03
E07,1549,361.89
E08,1298,365.59
E09,1430,352.68
E10,1635,362.96
E11,1551,371.97
F02,1203,356.48
F03,1295,364.2
F04,1408,355.96
F05,1346,364.92
F06,1303,345.0
F07,1399,345.61
F08,1522,355.88
F09,1374,352.8
F10,1593,358.24
F11,1342,357.97
G02,1293,352.07
G03,1242,354.83
G04,1153,361.84
G05,1229,355.5
G06,1293,360.91
G07,1195,341.96
G08,1003,344.01
G09,1179,352.86
G10,1522,363.8
G11,1295,353.69
3,,
Timespan(h):,48.4258,
B02,1346,365.51
B03,1656,350.33
B04,1583,360.4
B05,1399,358.76
B06,1506,359.31
B07,1410,360.93
B08,1567,364.38
B09,1667,362.29
B10,1651,357.16
B11,1282,366.55
C02,1627,361.13
C03,1858,357.25
C04,1865,352.42
