Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,700,330.81
B03,682,328.08
B04,677,318.6
B05,718,314.76
B06,1018,291.84
B07,759,324.4
B08,644,300.39
B09,983,308.93
B10,947,294.12
B11,745,317.72
C02,807,320.06
C03,1088,310.32
C04,968,317.6
C05,975,310.81
C06,1097,310.94
C07,862,305.89
C08,892,295.4
C09,893,289.67
C10,808,293.06
C11,1029,314.65
D02,811,315.15
D03,996,304.96
D04,946,294.88
D05,1015,303.94
D06,978,286.64
D07,912,276.14
D08,911,296.21
D09,1038,261.85
D10,979,294.35
D11,1024,317.16
E02,919,309.03
E03,960,315.68
E04,929,303.87
E05,1026,294.47
E06,713,257.52
E07,960,306.36
E08,1028,285.05
E09,900,309.89
E10,916,282.63
E11,1050,304.33
F02,834,307.82
F03,1042,317.0
F04,936,301.8
F05,1101,276.86
F06,667,300.03
F07,939,276.11
F08,1158,308.39
F09,960,305.34
F10,769,309.3
F11,882,321.88
G02,670,321.64
G03,635,313.42
G04,656,290.54
G05,835,313.44
G06,639,285.45
G07,713,311.45
G08,632,299.55
G09,621,321.3
G10,665,308.51
G11,690,285.98
2,,
Timespan(h):,19.9581,
B02,1046,294.02
B03,991,288.54
B04,1000,296.12
B05,1073,293.66
B06,1396,284.82
B07,1099,293.99
B08,942,271.39
B09,1393,295.9
B10,1353,284.71
B11,1045,310.62
C02,1113,316.4
C03,1551,283.85
C04,1390,283.72
C05,1390,299.82
C06,1527,301.03
C07,1218,294.64
C08,1307,254.94
C09,1262,284.13
C10,1088,298.38
C11,1479,284.24
D02,1141,285.8
D03,1428,295.73
D04,1322,246.44
D05,1511,260.64
D06,1402,279.54
D07,1283,293.93
D08,1276,295.39
D09,1521,260.83
D10,1357,239.19
D11,1441,305.81
E02,1318,253.54
E03,1399,299.44
E04,1308,255.31
E05,1408,251.73
E06,1002,285.68
E07,1345,307.28
E08,1536,264.41
E09,1258,280.79
E10,1294,251.47
E11,1469,296.56
F02,1167,295.39
F03,1505,280.31
F04,1337,246.35
F05,1515,249.37
F06,932,288.99
F07,1314,281.77
F08,1663,268.91
F09,1356,283.84
F10,1098,297.27
F11,1262,296.78
G02,940,302.67
G03,857,310.46
G04,861,311.64
G05,1178,258.4
G06,881,243.83
G07,1034,300.48
G08,917,295.91
G09,905,301.33
G10,917,292.44
G11,945,297.81
3,,
Timespan(h):,43.8456,
B02,1498,279.92
B03,1432,282.99
B04,1475,288.05
B05,1527,293.18
B06,2017,291.27
B07,1503,305.14
B08,1313,304.99
B09,1829,301.44
B10,1881,305.56
B11,1520,297.53
C02,1683,303.32
C03,2196,297.97
C04,2062,296.88
C05,2178,270.45
