Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,230,489.09
B03,281,443.62
B04,264,460.19
B05,304,391.55
B06,228,471.24
B07,227,509.11
B08,394,437.35
B09,234,465.29
B10,459,473.6
B11,205,520.92
C02,232,468.9
C03,523,423.0
C04,615,415.33
C05,409,436.94
C06,494,430.37
C07,502,427.16
C08,541,426.74
C09,514,440.68
C10,398,538.14
C11,370,431.7
D02,276,395.66
D03,516,382.37
D04,646,389.33
D05,500,447.55
D06,701,390.77
D07,565,393.33
D08,747,428.16
D09,618,451.76
D10,685,515.92
D11,286,429.49
E02,330,404.48
E03,578,429.85
E04,713,425.58
E05,680,398.66
E06,730,390.11
E07,646,409.36
E08,758,398.89
E09,576,406.59
E10,601,428.86
E11,518,421.96
F02,313,402.93
F03,515,399.93
F04,730,401.78
F05,735,384.31
F06,696,401.04
F07,718,424.82
F08,781,400.48
F09,721,383.86
F10,637,409.01
F11,405,463.66
G02,302,414.04
G03,436,469.29
G04,526,380.26
G05,526,374.17
G06,720,433.82
G07,429,439.78
G08,981,382.27
G09,406,383.03
G10,525,409.1
G11,257,412.03
2,,
Timespan(h):,25.765,
B02,362,433.36
B03,385,430.76
B04,341,419.92
B05,434,438.41
B06,290,440.81
B07,319,464.09
B08,579,434.11
B09,341,406.01
B10,711,433.63
B11,291,477.02
C02,319,429.59
C03,747,406.46
C04,931,391.03
C05,645,399.96
C06,667,438.04
C07,679,411.12
C08,816,396.79
C09,765,387.47
C10,573,442.95
C11,586,409.99
D02,439,396.28
D03,731,382.37
D04,1012,384.09
D05,733,425.2
D06,1108,373.69
D07,897,364.74
D08,1106,422.02
D09,972,410.47
D10,1094,406.87
D11,416,386.96
E02,431,399.23
E03,899,384.69
E04,1093,387.36
E05,950,395.89
E06,1179,372.36
E07,969,389.81
E08,1228,371.99
E09,816,437.91
E10,830,423.43
E11,789,393.59
F02,437,419.83
F03,803,362.28
F04,1149,386.45
F05,1098,380.27
F06,1110,371.82
F07,1140,381.2
F08,1183,369.95
F09,1086,370.2
F10,933,401.07
F11,636,406.72
G02,408,445.42
G03,687,377.0
G04,852,365.38
G05,768,405.32
G06,1184,378.98
G07,657,400.37
G08,1553,374.48
G09,557,400.38
G10,766,424.02
G11,391,390.83
3,,
Timespan(h):,46.4692,
B02,573,333.42
B03,618,380.28
B04,609,340.78
B05,828,384.74
B06,442,405.4
B07,587,418.38
B08,954,460.47
B09,557,376.67
B10,1179,382.32
B11,568,468.69
C02,497,369.14
C03,1168,374.41
C04,1525,316.68
C05,1009,345.79
C06,1177,346.47
C07,1084,386.9
C08,1200,385.19
C09,1352,361.81
C10,850,458.72
C11,983,398.52
