"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,1.965286e+001,1.149960e+001,2.320000e+002,8.500000e+002,226,2.959445e-001,3.087732e+002,1.085594e+002,3.984294e+001,6.651764e-001,1.383474e+002,3.761062e+000,1.400392e+000,7.432500e-001
2,C,1.843542e+001,1.149960e+001,2.130000e+002,8.170000e+002,212,3.169341e-001,2.732160e+002,1.179414e+002,5.292210e+001,7.836193e-001,1.550549e+002,3.853774e+000,1.436861e+000,7.524057e-001
2,D,2.191381e+001,1.149960e+001,4.580000e+002,9.640000e+002,252,3.463573e-001,2.762193e+002,1.221940e+002,6.937044e+001,8.599188e-001,1.614154e+002,3.825397e+000,1.519628e+000,7.460781e-001
2,E,2.608786e+001,1.149960e+001,3.020000e+002,1.138000e+003,300,3.353173e-001,2.409614e+002,1.202202e+002,6.493125e+001,8.321291e-001,1.567459e+002,3.793333e+000,1.483572e+000,7.502950e-001
2,F,2.530523e+001,1.149960e+001,2.920000e+002,1.131000e+003,291,3.396568e-001,2.274509e+002,1.235688e+002,6.615841e+001,8.916238e-001,1.621465e+002,3.886598e+000,1.469168e+000,7.554177e-001
2,G,2.382692e+001,1.149960e+001,2.760000e+002,1.007000e+003,274,3.302648e-001,2.506657e+002,1.210861e+002,5.926083e+001,7.643299e-001,1.578635e+002,3.675182e+000,1.469342e+000,7.503728e-001
3,B,2.269644e+001,1.149960e+001,2.610000e+002,8.960000e+002,261,3.386484e-001,2.489966e+002,1.181592e+002,6.565197e+001,7.544857e-001,1.577761e+002,3.432950e+000,1.438292e+000,7.552964e-001
3,C,4.000139e+001,1.149960e+001,4.640000e+002,1.700000e+003,460,3.300219e-001,2.533768e+002,1.190330e+002,5.976429e+001,7.946407e-001,1.565921e+002,3.695652e+000,1.491904e+000,7.450923e-001
3,D,4.095795e+001,1.149960e+001,4.750000e+002,1.856000e+003,471,3.541483e-001,2.300704e+002,1.228503e+002,6.967190e+001,9.087408e-001,1.618859e+002,3.940552e+000,1.503806e+000,7.468191e-001
3,E,4.730599e+001,1.149960e+001,5.470000e+002,2.035000e+003,544,3.329861e-001,2.481044e+002,1.212073e+002,6.400393e+001,8.060204e-001,1.588156e+002,3.740809e+000,1.447275e+000,7.608851e-001
3,F,4.165362e+001,1.149960e+001,4.820000e+002,1.842000e+003,479,3.476283e-001,2.369876e+002,1.234949e+002,7.177901e+001,8.671796e-001,1.625410e+002,3.845511e+000,1.489371e+000,7.530647e-001
3,G,3.634909e+001,1.149960e+001,4.190000e+002,1.410000e+003,418,3.072978e-001,2.661459e+002,1.171870e+002,5.026553e+001,6.798979e-001,1.529455e+002,3.373206e+000,1.437112e+000,7.461842e-001
4,B,2.165293e+001,1.149960e+001,2.500000e+002,9.430000e+002,249,3.196115e-001,2.776135e+002,1.156616e+002,5.218525e+001,7.258125e-001,1.512919e+002,3.787149e+000,1.448945e+000,7.508484e-001
