Column,Row,Cell Nuclei / mm^2,Evaluated Area [mm^2],Estimated Total Cell Count,Total Granule Count,Cell Nucleus,Contrast,Size [um^2],Intensity,Roughness,Granularity,Granule Intensity,Granule Count,Longishness,Compactness
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Timespan (h):,0,,,,,,,,,,,,,,
7,B,1.10E+01,4.93E+00,7.60E+01,1.02E+02,54,1.91E-01,1.08E+02,1.47E+02,3.64E+01,1.07E+00,1.60E+02,1.89E+00,1.47E+00,7.21E-01
7,C,2.78E+01,4.93E+00,1.63E+02,2.31E+02,137,1.75E-01,9.24E+01,1.43E+02,3.58E+01,1.11E+00,1.53E+02,1.69E+00,1.49E+00,7.07E-01
7,D,5.70E+01,4.93E+00,3.17E+02,4.86E+02,281,1.64E-01,1.02E+02,1.43E+02,3.16E+01,1.07E+00,1.45E+02,1.73E+00,1.46E+00,7.13E-01
7,E,1.10E+02,4.93E+00,6.22E+02,8.80E+02,544,1.62E-01,9.16E+01,1.43E+02,3.11E+01,1.06E+00,1.44E+02,1.62E+00,1.50E+00,6.99E-01
7,F,1.82E+02,4.93E+00,1.02E+03,1.45E+03,895,1.55E-01,9.22E+01,1.45E+02,2.92E+01,1.09E+00,1.40E+02,1.61E+00,1.50E+00,6.96E-01
7,G,2.15E+01,4.93E+00,1.29E+02,1.82E+02,106,1.45E-01,9.65E+01,1.44E+02,2.93E+01,1.02E+00,1.41E+02,1.72E+00,1.41E+00,7.00E-01
8,B,2.11E+01,4.93E+00,1.18E+02,1.87E+02,104,1.64E-01,1.14E+02,1.44E+02,3.23E+01,1.01E+00,1.46E+02,1.80E+00,1.45E+00,7.03E-01
8,C,6.13E+01,4.93E+00,3.29E+02,4.93E+02,302,1.63E-01,8.86E+01,1.43E+02,2.94E+01,1.17E+00,1.43E+02,1.63E+00,1.51E+00,7.00E-01
8,D,1.40E+02,4.93E+00,7.91E+02,1.11E+03,692,1.61E-01,9.11E+01,1.43E+02,2.89E+01,1.11E+00,1.43E+02,1.61E+00,1.50E+00,7.01E-01
8,E,1.58E+02,4.93E+00,8.99E+02,1.28E+03,780,1.66E-01,9.47E+01,1.42E+02,3.33E+01,1.07E+00,1.45E+02,1.64E+00,1.47E+00,7.09E-01
8,F,9.90E+01,4.93E+00,5.68E+02,8.02E+02,488,1.66E-01,9.18E+01,1.46E+02,3.20E+01,1.15E+00,1.48E+02,1.64E+00,1.49E+00,7.05E-01
8,G,2.74E+01,4.93E+00,1.65E+02,2.53E+02,135,1.66E-01,1.17E+02,1.48E+02,3.38E+01,9.80E-01,1.48E+02,1.87E+00,1.50E+00,6.93E-01
9,B,3.25E+01,4.93E+00,1.98E+02,2.59E+02,160,1.59E-01,1.07E+02,1.41E+02,2.80E+01,9.21E-01,1.36E+02,1.62E+00,1.43E+00,7.15E-01
9,C,7.95E+01,4.93E+00,4.83E+02,4.97E+02,392,1.32E-01,8.57E+01,1.42E+02,2.06E+01,8.05E-01,1.09E+02,1.27E+00,1.65E+00,6.44E-01
9,D,1.22E+02,4.93E+00,6.72E+02,9.95E+02,601,1.56E-01,9.54E+01,1.42E+02,2.69E+01,1.07E+00,1.38E+02,1.66E+00,1.49E+00,7.01E-01
9,E,1.76E+02,4.93E+00,9.91E+02,1.40E+03,865,1.61E-01,9.39E+01,1.42E+02,2.95E+01,1.12E+00,1.44E+02,1.62E+00,1.51E+00,7.06E-01
9,F,1.44E+02,4.93E+00,8.10E+02,1.22E+03,709,1.60E-01,1.07E+02,1.42E+02,2.99E+01,1.02E+00,1.46E+02,1.72E+00,1.49E+00,7.05E-01
9,G,5.88E+01,4.93E+00,3.43E+02,5.09E+02,290,1.56E-01,1.19E+02,1.43E+02,2.86E+01,9.84E-01,1.45E+02,1.76E+00,1.43E+00,7.20E-01
10,B,5.46E+01,4.93E+00,3.53E+02,3.46E+02,269,1.37E-01,7.52E+01,1.43E+02,2.21E+01,1.06E+00,1.22E+02,1.29E+00,1.58E+00,6.69E-01
10,C,5.86E+01,4.93E+00,3.33E+02,5.00E+02,289,1.73E-01,1.02E+02,1.42E+02,3.42E+01,1.10E+00,1.47E+02,1.73E+00,1.48E+00,7.20E-01
10,D,9.70E+01,4.93E+00,5.51E+02,7.59E+02,478,1.63E-01,9.96E+01,1.44E+02,2.91E+01,9.91E-01,1.40E+02,1.59E+00,1.52E+00,6.99E-01
10,E,9.62E+01,4.93E+00,5.71E+02,8.83E+02,474,1.60E-01,1.23E+02,1.42E+02,3.23E+01,9.52E-01,1.50E+02,1.86E+00,1.43E+00,7.12E-01
10,F,1.11E+02,4.93E+00,6.08E+02,9.22E+02,546,1.62E-01,9.16E+01,1.46E+02,2.81E+01,1.15E+00,1.45E+02,1.69E+00,1.49E+00,7.02E-01
10,G,3.45E+01,4.93E+00,1.95E+02,3.04E+02,170,1.67E-01,9.67E+01,1.53E+02,3.31E+01,1.18E+00,1.60E+02,1.79E+00,1.52E+00,6.97E-01
11,B,6.07E+01,4.93E+00,3.63E+02,4.85E+02,299,1.54E-01,9.94E+01,1.43E+02,2.70E+01,1.01E+00,1.42E+02,1.62E+00,1.50E+00,7.01E-01
11,C,5.84E+01,4.93E+00,3.54E+02,4.78E+02,288,1.63E-01,9.66E+01,1.41E+02,3.03E+01,1.02E+00,1.46E+02,1.66E+00,1.47E+00,7.08E-01
11,D,9.60E+01,4.93E+00,5.51E+02,8.09E+02,473,1.67E-01,9.64E+01,1.46E+02,3.53E+01,1.12E+00,1.48E+02,1.71E+00,1.46E+00,7.13E-01
11,E,1.13E+02,4.93E+00,6.40E+02,9.71E+02,559,1.56E-01,1.06E+02,1.48E+02,2.90E+01,1.05E+00,1.46E+02,1.74E+00,1.49E+00,7.04E-01
11,F,8.26E+01,4.93E+00,4.75E+02,7.03E+02,407,1.59E-01,1.00E+02,1.47E+02,3.09E+01,1.02E+00,1.45E+02,1.73E+00,1.48E+00,7.03E-01
11,G,1.15E+02,4.93E+00,6.70E+02,1.04E+03,569,1.61E-01,1.15E+02,1.45E+02,3.21E+01,1.02E+00,1.51E+02,1.82E+00,1.47E+00,7.07E-01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
Timespan (h):,15.4906,,,,,,,,,,,,,,
2,B,9.60E+01,4.93E+00,5.27E+02,7.70E+02,473,1.57E-01,9.68E+01,1.38E+02,2.77E+01,1.01E+00,1.33E+02,1.63E+00,1.49E+00,7.06E-01
2,C,3.96E+01,4.93E+00,2.30E+02,3.30E+02,195,1.55E-01,1.03E+02,1.40E+02,2.64E+01,9.32E-01,1.38E+02,1.69E+00,1.51E+00,7.05E-01
2,D,2.31E+01,4.93E+00,1.28E+02,2.11E+02,114,1.60E-01,1.07E+02,1.42E+02,2.82E+01,9.41E-01,1.43E+02,1.85E+00,1.51E+00,7.09E-01
2,E,1.93E+01,4.93E+00,1.07E+02,1.54E+02,95,1.63E-01,8.37E+01,1.45E+02,2.74E+01,1.22E+00,1.52E+02,1.62E+00,1.40E+00,7.19E-01
2,F,1.72E+01,4.93E+00,1.00E+02,1.78E+02,85,1.74E-01,1.44E+02,1.41E+02,3.53E+01,9.35E-01,1.56E+02,2.09E+00,1.37E+00,7.28E-01
2,G,4.24E+01,4.93E+00,2.49E+02,3.62E+02,209,1.59E-01,1.01E+02,1.46E+02,2.96E+01,1.16E+00,1.51E+02,1.73E+00,1.49E+00,6.98E-01
