Column,Row,Cell Nuclei / mm^2,Evaluated Area [mm^2],Estimated Total Cell Count,Total Granule Count,Cell Nucleus,Contrast,Size [um^2],Intensity,Roughness,Granularity,Granule Intensity,Granule Count,Longishness,Compactness
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Timespan (h):,0,,,,,,,,,,,,,,
7,B,2.58E+01,1.15E+01,3.17E+02,9.77E+02,297,2.58E-01,1.86E+02,1.35E+02,5.77E+01,9.36E-01,1.67E+02,3.29E+00,1.28E+00,7.98E-01
7,C,5.90E+01,1.15E+01,7.23E+02,2.32E+03,678,2.73E-01,1.83E+02,1.40E+02,6.74E+01,1.01E+00,1.75E+02,3.42E+00,1.31E+00,7.97E-01
7,D,5.75E+01,1.15E+01,7.15E+02,2.26E+03,661,2.66E-01,1.78E+02,1.38E+02,6.03E+01,1.05E+00,1.71E+02,3.42E+00,1.33E+00,7.92E-01
7,E,6.25E+01,1.15E+01,7.57E+02,2.41E+03,719,2.65E-01,1.80E+02,1.39E+02,6.36E+01,1.01E+00,1.73E+02,3.35E+00,1.29E+00,7.98E-01
7,F,4.22E+01,1.15E+01,5.19E+02,1.70E+03,485,2.73E-01,1.81E+02,1.42E+02,6.85E+01,1.04E+00,1.79E+02,3.51E+00,1.28E+00,8.02E-01
7,G,2.54E+01,1.15E+01,3.05E+02,1.01E+03,292,2.65E-01,1.81E+02,1.41E+02,6.26E+01,1.04E+00,1.75E+02,3.45E+00,1.27E+00,8.05E-01
8,B,3.73E+01,1.15E+01,4.56E+02,1.45E+03,429,2.63E-01,1.73E+02,1.38E+02,6.40E+01,1.04E+00,1.71E+02,3.39E+00,1.30E+00,7.97E-01
8,C,5.12E+01,1.15E+01,6.39E+02,2.01E+03,589,2.71E-01,1.89E+02,1.37E+02,6.34E+01,9.95E-01,1.72E+02,3.41E+00,1.28E+00,7.97E-01
8,D,6.74E+01,1.15E+01,8.32E+02,2.56E+03,775,2.59E-01,1.78E+02,1.37E+02,6.07E+01,1.00E+00,1.70E+02,3.30E+00,1.26E+00,8.01E-01
8,E,5.32E+01,1.15E+01,6.47E+02,2.12E+03,612,2.59E-01,1.80E+02,1.39E+02,6.31E+01,1.01E+00,1.70E+02,3.46E+00,1.29E+00,8.02E-01
8,F,4.72E+01,1.15E+01,5.79E+02,1.95E+03,543,2.65E-01,1.90E+02,1.40E+02,6.51E+01,1.03E+00,1.74E+02,3.59E+00,1.28E+00,8.03E-01
8,G,3.79E+01,1.15E+01,4.69E+02,1.50E+03,436,2.48E-01,1.87E+02,1.37E+02,5.54E+01,9.88E-01,1.67E+02,3.43E+00,1.28E+00,7.95E-01
9,B,3.61E+01,1.15E+01,4.38E+02,1.35E+03,415,2.62E-01,1.77E+02,1.35E+02,5.96E+01,1.02E+00,1.69E+02,3.26E+00,1.28E+00,7.98E-01
9,C,5.88E+01,1.15E+01,7.20E+02,2.34E+03,676,2.61E-01,1.80E+02,1.38E+02,5.78E+01,1.02E+00,1.69E+02,3.46E+00,1.29E+00,8.01E-01
9,D,6.59E+01,1.15E+01,8.18E+02,2.55E+03,758,2.64E-01,1.91E+02,1.37E+02,6.46E+01,9.73E-01,1.71E+02,3.37E+00,1.29E+00,7.99E-01
9,E,5.83E+01,1.15E+01,7.04E+02,2.28E+03,670,2.62E-01,1.82E+02,1.38E+02,6.19E+01,1.01E+00,1.72E+02,3.40E+00,1.28E+00,8.01E-01
9,F,5.10E+01,1.15E+01,6.31E+02,2.06E+03,587,2.68E-01,1.83E+02,1.40E+02,6.41E+01,1.03E+00,1.74E+02,3.51E+00,1.31E+00,7.94E-01
9,G,4.29E+01,1.15E+01,5.38E+02,1.55E+03,493,2.59E-01,1.67E+02,1.39E+02,5.91E+01,1.01E+00,1.71E+02,3.14E+00,1.26E+00,8.03E-01
10,B,4.50E+01,1.15E+01,5.43E+02,1.78E+03,518,2.69E-01,1.90E+02,1.37E+02,6.35E+01,9.81E-01,1.71E+02,3.43E+00,1.27E+00,7.95E-01
10,C,5.10E+01,1.15E+01,6.21E+02,1.99E+03,586,2.70E-01,1.85E+02,1.37E+02,6.60E+01,9.80E-01,1.70E+02,3.39E+00,1.29E+00,7.94E-01
10,D,6.75E+01,1.15E+01,9.30E+02,4.88E+03,776,2.67E-01,3.44E+02,1.42E+02,5.85E+01,1.01E+00,1.74E+02,6.29E+00,1.39E+00,7.77E-01
10,E,5.04E+01,1.15E+01,6.17E+02,2.09E+03,580,2.69E-01,1.91E+02,1.39E+02,6.11E+01,1.01E+00,1.72E+02,3.61E+00,1.27E+00,8.02E-01
10,F,6.31E+01,1.15E+01,7.78E+02,2.53E+03,726,2.61E-01,1.81E+02,1.40E+02,6.02E+01,1.03E+00,1.73E+02,3.49E+00,1.30E+00,7.99E-01
10,G,3.73E+01,1.15E+01,4.57E+02,1.49E+03,429,2.68E-01,1.80E+02,1.40E+02,6.82E+01,1.03E+00,1.76E+02,3.47E+00,1.28E+00,7.97E-01
11,B,4.65E+01,1.15E+01,5.70E+02,1.83E+03,535,2.57E-01,1.80E+02,1.37E+02,5.95E+01,1.03E+00,1.70E+02,3.43E+00,1.27E+00,8.03E-01
11,C,4.34E+01,1.15E+01,5.29E+02,1.85E+03,499,2.67E-01,1.95E+02,1.37E+02,5.84E+01,1.02E+00,1.71E+02,3.70E+00,1.29E+00,7.96E-01
11,D,4.06E+01,1.15E+01,4.97E+02,1.62E+03,467,2.71E-01,1.81E+02,1.38E+02,6.23E+01,1.04E+00,1.71E+02,3.48E+00,1.32E+00,7.96E-01
11,E,6.07E+01,1.15E+01,7.48E+02,2.41E+03,698,2.60E-01,1.81E+02,1.39E+02,6.04E+01,1.04E+00,1.71E+02,3.46E+00,1.31E+00,7.95E-01
11,F,4.08E+01,1.15E+01,4.88E+02,1.61E+03,469,2.64E-01,1.86E+02,1.38E+02,6.09E+01,1.01E+00,1.71E+02,3.43E+00,1.29E+00,8.01E-01
11,G,4.01E+01,1.15E+01,4.85E+02,1.57E+03,461,2.67E-01,1.80E+02,1.43E+02,6.65E+01,1.01E+00,1.76E+02,3.40E+00,1.28E+00,7.99E-01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
Timespan (h):,28.7131,,,,,,,,,,,,,,
2,B,3.15E+01,1.15E+01,4.08E+02,1.31E+03,362,2.55E-01,2.15E+02,1.32E+02,4.94E+01,9.32E-01,1.63E+02,3.61E+00,1.33E+00,7.83E-01
2,C,4.71E+01,1.15E+01,5.81E+02,2.07E+03,542,2.48E-01,2.11E+02,1.35E+02,5.14E+01,9.51E-01,1.63E+02,3.81E+00,1.33E+00,7.90E-01
2,D,4.51E+01,1.15E+01,5.67E+02,1.97E+03,519,2.44E-01,2.06E+02,1.35E+02,5.17E+01,9.72E-01,1.65E+02,3.79E+00,1.33E+00,7.88E-01
2,E,4.17E+01,1.15E+01,5.19E+02,1.80E+03,479,2.57E-01,2.12E+02,1.36E+02,5.66E+01,9.58E-01,1.67E+02,3.76E+00,1.35E+00,7.82E-01
2,F,4.86E+01,1.15E+01,6.01E+02,2.17E+03,559,2.54E-01,2.11E+02,1.38E+02,5.23E+01,9.80E-01,1.69E+02,3.87E+00,1.33E+00,7.90E-01
