"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,1.805860e+001,4.928400e+000,9.100000e+001,1.000000e+000,89,1.699905e-001,3.057933e+002,1.174386e+002,1.963965e+001,1.731272e-003,2.865169e+000,1.123596e-002,1.594102e+000,6.598126e-001
2,C,2.881260e+001,4.928400e+000,1.430000e+002,3.000000e+000,142,1.958900e-001,3.172523e+002,1.237786e+002,2.539430e+001,6.284724e-003,5.035211e+000,2.112676e-002,1.599836e+000,6.719646e-001
2,D,3.104456e+001,4.928400e+000,1.570000e+002,0.000000e+000,153,1.897154e-001,3.161040e+002,1.254425e+002,2.522026e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.589375e+000,6.733403e-001
2,E,3.936369e+001,4.928400e+000,1.970000e+002,0.000000e+000,194,2.259753e-001,2.907567e+002,1.277947e+002,3.253438e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.562762e+000,6.828521e-001
2,F,4.037822e+001,4.928400e+000,2.030000e+002,0.000000e+000,199,2.092218e-001,2.812364e+002,1.273762e+002,3.032461e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.548459e+000,6.931901e-001
2,G,0.000000e+000,4.928400e+000,0.000000e+000,0.000000e+000,0,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000
3,B,2.556611e+001,4.928400e+000,1.290000e+002,0.000000e+000,126,1.669084e-001,2.397252e+002,1.189786e+002,2.224428e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.593360e+000,6.748328e-001
3,C,3.063875e+001,4.928400e+000,1.530000e+002,2.000000e+000,151,1.849648e-001,2.696689e+002,1.207259e+002,2.584197e+001,2.919703e-003,3.026490e+000,1.324503e-002,1.535476e+000,6.853478e-001
3,D,4.017531e+001,4.928400e+000,2.010000e+002,4.000000e+000,198,2.369072e-001,3.172164e+002,1.271229e+002,3.246221e+001,4.191056e-003,3.863636e+000,2.020202e-002,1.596387e+000,6.769986e-001
3,E,2.516030e+001,4.928400e+000,1.260000e+002,0.000000e+000,124,2.069817e-001,3.033705e+002,1.258847e+002,2.861555e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.571498e+000,6.877391e-001
3,F,3.307361e+001,4.928400e+000,1.670000e+002,0.000000e+000,163,1.956964e-001,2.843634e+002,1.250545e+002,2.649446e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.511122e+000,6.768751e-001
3,G,0.000000e+000,4.928400e+000,0.000000e+000,0.000000e+000,0,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000
