Well,Date,Description,TR: DMEM (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
B03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
B04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
B05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
B06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
B07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
B08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
B09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
B10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
B11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
B12,null,null,,,,,
C01,null,null,,,,,
C02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
C03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
C04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
C05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
C06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
C07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
C08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
C09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
C10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
C11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
C12,null,null,,,,,
D01,null,null,,,,,
D02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
D03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
D04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
D05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
D06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
D07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
D08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
D09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
D10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
D11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
D12,null,null,,,,,
E01,null,null,,,,,
E02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
E03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
E04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
E05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
E06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
E07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
E08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
E09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
E10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
E11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
E12,null,null,,,,,
F01,null,null,,,,,
F02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
F03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
F04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
F05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
F06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
F07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
F08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
F09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
F10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
F11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
F12,null,null,,,,,
G01,null,null,,,,,
G02,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,0,24
G03,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,10000,24
G04,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,5000,24
G05,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,2500,24
G06,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,1250,24
G07,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,625,24
G08,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,312.5,24
G09,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,156.25,24
G10,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,78.125,24
G11,6/8/15,MDAMB231 H2BmRFP FUCCImAG Passage 7,280,10,0,39.0625,24
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
