"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,2.965321e+001,1.149960e+001,3.460000e+002,1.239000e+003,341,2.910963e-001,2.762623e+002,1.160758e+002,4.661838e+001,7.147294e-001,1.487158e+002,3.633431e+000,1.384366e+000,7.510428e-001
2,C,2.373996e+001,1.149960e+001,2.750000e+002,9.960000e+002,273,3.066399e-001,2.696324e+002,1.161416e+002,5.561671e+001,7.277114e-001,1.519917e+002,3.648352e+000,1.459477e+000,7.483197e-001
2,D,5.765418e+001,1.149960e+001,6.660000e+002,2.492000e+003,663,3.237329e-001,2.319270e+002,1.208689e+002,6.275520e+001,8.463810e-001,1.574852e+002,3.758673e+000,1.495442e+000,7.504407e-001
2,E,2.574003e+001,1.149960e+001,3.010000e+002,1.173000e+003,296,3.387491e-001,2.280584e+002,1.239544e+002,7.084965e+001,9.339328e-001,1.633885e+002,3.962838e+000,1.504290e+000,7.448756e-001
2,F,2.869665e+001,1.149960e+001,3.360000e+002,1.178000e+003,330,3.174543e-001,2.294973e+002,1.205485e+002,5.927460e+001,8.334949e-001,1.566508e+002,3.569697e+000,1.483197e+000,7.509493e-001
2,G,2.113117e+001,1.149960e+001,2.490000e+002,7.900000e+002,243,3.063248e-001,2.728329e+002,1.156870e+002,4.850030e+001,6.589179e-001,1.517387e+002,3.251029e+000,1.417413e+000,7.466784e-001
3,B,2.869665e+001,1.149960e+001,3.340000e+002,1.144000e+003,330,3.056549e-001,2.643016e+002,1.130448e+002,5.086775e+001,7.195889e-001,1.482809e+002,3.466667e+000,1.412858e+000,7.521927e-001
3,C,4.104491e+001,1.149960e+001,4.740000e+002,1.765000e+003,472,3.185572e-001,2.439720e+002,1.189431e+002,5.827656e+001,8.230466e-001,1.545082e+002,3.739407e+000,1.470411e+000,7.509098e-001
3,D,4.556680e+001,1.149960e+001,5.280000e+002,2.092000e+003,524,3.432430e-001,2.246465e+002,1.245715e+002,7.165030e+001,9.455072e-001,1.630702e+002,3.992366e+000,1.480243e+000,7.563682e-001
3,E,4.521896e+001,1.149960e+001,5.280000e+002,2.166000e+003,520,3.309097e-001,2.369136e+002,1.239844e+002,6.623831e+001,9.241094e-001,1.622035e+002,4.165385e+000,1.485280e+000,7.513539e-001
3,F,3.652301e+001,1.149960e+001,4.250000e+002,1.622000e+003,420,3.386600e-001,2.245536e+002,1.235894e+002,6.756452e+001,9.082368e-001,1.605659e+002,3.861905e+000,1.491886e+000,7.538214e-001
3,G,2.652266e+001,1.149960e+001,3.190000e+002,1.161000e+003,305,3.141299e-001,2.407062e+002,1.206226e+002,5.814444e+001,8.391907e-001,1.552636e+002,3.806557e+000,1.485191e+000,7.458711e-001
4,B,3.974051e+001,1.149960e+001,4.600000e+002,1.703000e+003,457,3.182073e-001,2.220652e+002,1.202024e+002,6.283295e+001,8.813556e-001,1.550214e+002,3.726477e+000,1.479746e+000,7.512383e-001
